,ID,MAQ [Opcja 1],MAQ [Opcja 2],MAQ [Opcja 3],MAQ [Opcja 4],MAQ [Opcja 5],MAQ 2 [Opcja 1],MAQ 2 [Opcja 2],MAQ 2 [Opcja 3],MAQ 2 [Opcja 4],MAQ 2 [Opcja 5]
0,1,Tak,Nie,Nie,Nie,Nie,Tak,Tak,Nie,Tak,Tak
1,2,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Nie,Nie
2,3,Nie,Tak,Nie,Nie,Tak,Tak,Tak,Tak,Nie,Tak
3,4,Tak,Nie,Nie,Nie,Tak,Tak,Nie,Tak,Tak,Nie
4,5,Tak,Nie,Tak,Nie,Tak,Tak,Tak,Nie,Nie,Tak
5,6,Nie,Tak,Tak,Nie,Nie,Tak,Tak,Nie,Nie,Tak
6,7,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Tak,Tak,Nie
7,8,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Nie,Tak
8,9,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Tak
9,10,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Tak
10,11,Tak,Nie,Nie,Tak,Nie,Tak,Tak,Nie,Tak,Nie
11,12,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Nie,Nie,Nie
12,13,Nie,Tak,Nie,Nie,Tak,Tak,Tak,Nie,Nie,Tak
13,14,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Nie
14,15,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Nie,Nie,Tak
